title,description
VAT356,"Vehicle and Traffic      356. Forging   or  without  authority  signing  proof  of  financial  responsibility. Any person who shall forge, or without  authority,  sign  any  evidence  of  ability  to  respond  in  damages  as required by the  commissioner in the administration of this article, and any non-resident  who shall operate a motor vehicle in this state from whom the  privilege  of  operating  any  motor vehicle has been withdrawn as provided herein,  shall be fined not more than one thousand dollars or imprisoned not more  than thirty days or both."
VAT357,"Vehicle and Traffic      357. Failing   to  report  convictions  and  judgments.  Any  person  required to forward to the commissioner a record of a  conviction  or  a  judgment  for  damages  as provided in section three hundred thirty-six,  who wilfully fails or neglects to do so, shall be punished by a fine  of  not less than ten dollars for each separate offense."
VAT358,Vehicle and Traffic      358. Otherwise  violating  article.  Any  person  who  violates  any  provision of this article for which another penalty is not prescribed by  law shall be punished by imprisonment for not more than ninety  days  or  by a fine of not less than one hundred dollars or more than one thousand  dollars or both.
VAT359,"Vehicle and Traffic      359. Definitions.  The following words and phrases when used in this  article shall, for the purpose  of  this  article,  have  the  following  meanings: (a) The singular shall include the plural; the masculine shall  include the feminine and neuter, as requisite.    (b) Commissioner. The commissioner of motor vehicles of this state.    (c)  Department. The department of motor vehicles of this state acting  directly or through its duly authorized officers and agents.    (d)  Person.   Shall   include   individuals,   firms,   partnerships,  associations, corporations, receivers, referees, trustees, assignees for  the  benefit  of  creditors;  executors  and  administrators;  and shall  include the owner of any motor  vehicle  as  requisite;  but  shall  not  include the state or any political subdivision thereof.    (g)  Owner.  A person who holds the legal title of a motor vehicle; or  in the event a motor vehicle is subject to a security interest, or lease  with the right of purchase upon performance of conditions stated in  the  lease  and with an immediate right of possession vested in the debtor or  lessee, then such debtor or lessee shall be deemed  the  owner  for  the  purpose of this act.    (h)  Insured. The person in whose name there is issued a motor vehicle  liability policy, as defined in  this  article,  and  any  other  person  insured under the terms of such policy.    (i)  Judgment.  Any  judgment, except a judgment rendered against this  state or any political subdivision thereof or any municipality  therein,  which  shall  have become final by expiration without appeal of the time  within which appeal might have been perfected, or by final affirmance on  appeal, rendered by a court of competent jurisdiction of any state,  any  province of Canada, the Dominion of Canada, the District of Columbia, or  the United States.    (j) Non-resident. Every person who is not a resident of this state.    (k)  Motor  vehicle. As used in this article, the term ""motor vehicle""  shall be defined as in section one hundred twenty-five of this  chapter,  except  that  it shall also include trailers, semi-trailers and tractors  other than tractors used  exclusively  for  agricultural  purposes,  and  shall   exclude  fire  and  police  vehicles,  self-propelled  combines,  self-propelled  corn  and  hay  harvesting   machines,   tractors   used  exclusively  for agricultural purposes and self-propelled caterpillar or  crawler-type equipment while being operated on the contract site."
VAT360,"Vehicle and Traffic      360. Exceptions.   This   article,  except  sections  three  hundred  thirty-nine and three hundred fifty-nine, shall not apply to  any  motor  vehicle  for the operation of which security is required to be furnished  under section three hundred seventy of this chapter, including those for  which  a  certificate  is  issued  pursuant  to  section  three  hundred  seventy-one  of  this chapter except as may be provided in section three  hundred seventy; to  any  motor  vehicle  operated  under  permit  or  a  certificate  of  convenience and necessity issued pursuant to the public  service law or pursuant to section fifty-a of such law; nor to any motor  vehicle  owned  by  the  United  States,  the  state  or  any  political  subdivision thereof."
VAT361,"Vehicle and Traffic      361. Self-insurers.  (a) This article, except sections three hundred  thirty-nine and three hundred fifty-nine, shall not apply to any  person  having  registered in his name in this state more than twenty-five motor  vehicles if such person shall obtain from the commissioner a certificate  of self-insurance as provided for in subdivision (b) of this section.    (b) The commissioner may, in his discretion, upon the  application  of  such  a  person,  issue  a  certificate  of  self-insurance  when  he is  reasonably satisfied that such person is possessed and will continue  to  be   possessed   of  financial  ability  to  respond  to  judgments,  as  hereinbefore described, obtained against such person, arising out of the  ownership, maintenance, use or operation of any of such  person's  motor  vehicles.    (c)  Upon  due  notice  and  hearing,  the  commissioner,  may, in his  discretion  and  upon  reasonable  grounds,  cancel  a  certificate   of  self-insurance."
VAT362,"Vehicle and Traffic      362. Article  not  to  repeal other motor vehicle laws. This article  shall in no respect be considered as a repeal of any of  the  provisions  of  this  chapter  (except article six) or of other laws relating to the  registration, numbering and regulation of motor vehicles; the  licensing  and  regulation  of  chauffeurs  and  operators;  the  use of the public  highways by motor vehicles and the accessories used upon them and  their  incidents;  the speed of motor vehicles upon the public highways; or the  punishment for the violations of such provisions, but shall be construed  as supplemental thereto."
VAT363,"Vehicle and Traffic      363. Expenses  of  administering  article.  1.  The  total amount of  expenses incurred in connection with the administration of this  article  shall  be  paid  by  all  insurance  carriers  which  issue  policies or  contracts of automobile bodily injury insurance risks  subject  to  this  article  resident  or  located  in  this  state  in  accordance with the  provisions of this section.    2. Estimate of expenses. (a) The commissioner  annually,  as  soon  as  practicable,  shall estimate the total amount of expenses which shall be  incurred during the  succeeding  fiscal  year  in  connection  with  the  administration of this article. Such expenses, in addition to the direct  costs  of  personal  service,  shall  include the costs of maintence and  operation, the  cost  of  retirement  contributions  made  and  workers'  compensation  premiums paid by the state for or on account of personnel,  rentals for space occupied in state-owned or state-leased buildings, the  amounts paid to a city, county, town, village or the division  of  state  police for the enforcement of orders issued pursuant to this article and  all other direct or indirect costs.    (b)  The  commissioner  shall  on  or before February first assess the  total amount of such expenses,  as  so  estimated,  pro  rata  upon  all  insurance  carriers  subject  to  the  provisions  of  this  section  in  proportion to the premiums reported by such carriers to  the  department  of  financial  services  for  policies or contracts of automobile bodily  injury insurance on risks subject to this article resident or located in  this state for the year prior to the previous calendar year.    (c) For fiscal years beginning  on  or  after  April  first,  nineteen  hundred  eighty-three,  each  such  insurance carrier shall make partial  payments of the assessment levied against it as follows, one-quarter  of  the  total  on  March tenth of the preceding fiscal year, one-quarter on  June tenth, one-quarter on September tenth, and the balance on  December  tenth  of the fiscal year, or on such other dates as the director of the  budget may prescribe. Provided, however,  that  the  payment  due  March  tenth, nineteen hundred eighty-three for the fiscal year beginning April  first,  nineteen  hundred  eighty-three shall not be required to be paid  until June tenth, nineteen hundred eighty-three. If the total amount due  from any such carrier is less than one hundred dollars, partial payments  shall not be made and the total  amount  shall  be  paid  on  or  before  September thirtieth of the fiscal year.    3.   Final  assessment.  (a)  The  commissioner  and  the  comptroller  annually, as soon as practicable after April first, shall ascertain  the  total  amount  of  expenses incurred during the preceding fiscal year in  connection  with  the  administration  of  this  article.  An   itemized  statement  of  the  expenses  so  ascertained  shall  be  open to public  inspection in the office of  the  commissioner  for  thirty  days  after  notice to those liable to be assessed for such expenses.    (b) As soon as practicable after January first, each insurance carrier  subject   to  the  provisions  of  this  section  shall  file  with  the  commissioner a report of the total amount of gross direct premiums, less  return premiums thereon received during the preceding calendar year  for  policies  or  contracts  of  automobile bodily injury insurance on risks  subject to this article resident or located in this state.    (c) The commissioner shall then determine the amount of  expenses  due  from  each  insurance  carrier subject to the provisions of this section  based upon the final determination  of  total  expenses  and  the  final  amount of premiums filed by the insurance carriers and shall notify each  such insurance carrier of such assessment. Within thirty days of receipt  of  such  notification  each  such carrier shall pay the total amount of  such assessment less the total amount paid as a result of the  estimated  assessments.  If  the  total amount of the final assessment is less than  the amount already paid, such excess payment shall be refunded  to  such  insurance   carrier  or  at  the  option  of  the  assessed  applied  to  assessments  for  the  succeeding  fiscal  year  as  requested  by  such  insurance carrier.    4.  The  commissioner  shall levy and collect such assessments and pay  the same into the state treasury, subject to the provisions  of  section  one hundred twenty-one of the state finance law."
VAT364,"Vehicle and Traffic      364. Uniformity   of   interpretation.  This  article  shall  be  so  interpreted and construed as to effectuate its general purpose  to  make  uniform  the law of those states, the District of Columbia, or territory  or lands in continental United States under the  exclusive  jurisdiction  of the United States, or provinces of Canada, which enact it."
VAT365,Vehicle and Traffic      365. Short  title.  This  article may be cited as the New York motor  vehicle safety-responsibility act.
VAT366,"Vehicle and Traffic      366. Past application of article. This article, except section three  hundred  thirty-nine thereof, shall not apply to any judgment in a civil  action or cause of action arising out of an accident occurring prior  to  the effective date of this article."
VAT367,Vehicle and Traffic      367. This article does not prevent other process. This article shall  not  be  construed  to  prevent  the plaintiff in any action at law from  relying for security upon the other processes provided by law.
VAT368,"Vehicle and Traffic      368. Constitutionality.  If  any part or parts of this article shall  be held unconstitutional, such unconstitutionality shall not affect  the  validity  of the remaining parts of this article. The legislature hereby  declares that it would have passed the remaining parts of  this  article  if  it  had  known  that  such  part  or parts thereof would be declared  unconstitutional."
VATT3A8,Vehicle and Traffic                                   ARTICLE 8               INDEMNITY BONDS OR INSURANCE POLICIES ON VEHICLES                      TRANSPORTING PASSENGERS FOR HIRE   Section 370. Indemnity bonds or insurance policies; notice of accident.          371. Certificate  of  department  of  transportation  in lieu of                 indemnity bonds or insurance policies.
VAT370,"Vehicle and Traffic       370.  Indemnity bonds or insurance policies; notice of accident. 1.  Every person, firm, association or corporation engaged in  the  business  of  carrying or transporting passengers for hire in any motor vehicle or  motorcycle, except street cars, and motor vehicles or motorcycles  owned  and operated by a municipality, and except as otherwise provided in this  section,  which  shall be operated over, upon or along any public street  or highway of the state of New York shall file with the commissioner  of  motor  vehicles  for  each motor vehicle or motorcycle intended to be so  operated evidence, in such form as the commissioner may prescribe, of  a  corporate  surety  bond or a policy of insurance, approved as to form by  the superintendent of financial services in a company authorized  to  do  business in the state, approved by the superintendent as to solvency and  responsibility,   conditioned   for   the  payment  of  a  minimum  sum,  hereinafter called minimum liability, on a  judgment  or  judgments  for  damages,  including  damages  for  care and loss of services, because of  bodily injury to, or death of any one person in any  one  accident,  and  subject  to  such  minimum  liability  a maximum sum, hereinafter called  maximum liability on a judgment  or  judgments  for  damages,  including  damages  for  care  and loss of services because of bodily injury to, or  death of two or more persons in any one accident and for the payment  of  a  minimum  sum,  called  minimum liability on all judgments for damages  because of injury to or destruction of property of  others  in  any  one  accident,   recovered   against   such   person,  firm,  association  or  corporation  upon  claims  arising  out  of  the  same  transaction   or  transactions   connected   with  the  same  subject  of  action,  to  be  apportioned ratably among the judgment creditors according to the amount  of their respective  judgments  for  damage  or  injury  caused  in  the  operation,  maintenance, use or the defective construction of such motor  vehicle or motorcycle as follows:    (a) For damages for and incident to death or injuries to persons:  For  each  motorcycle and for each motor vehicle having a seating capacity of  not more than seven passengers,  a  bond  or  insurance  policy  with  a  minimum   liability  of  twenty-five  thousand  dollars  and  a  maximum  liability of fifty thousand dollars for bodily  injury,  and  a  minimum  liability  of  fifty  thousand  dollars  and  a maximum liability of one  hundred thousand dollars for death; for  each  motor  vehicle  having  a  seating capacity of not less than eight nor more than twelve passengers,  a  bond  or  insurance  policy  with  a minimum liability of twenty-five  thousand dollars and a maximum liability of eighty thousand dollars  for  bodily  injury,  and a minimum liability of fifty thousand dollars and a  maximum liability of one hundred fifty thousand dollars for  death;  for  each  motor  vehicle having a seating capacity of not less than thirteen  nor more than twenty passengers, a  bond  or  insurance  policy  with  a  minimum   liability  of  twenty-five  thousand  dollars  and  a  maximum  liability of one hundred twenty thousand dollars for bodily injury and a  minimum liability of fifty thousand dollars and a maximum  liability  of  one  hundred  fifty  thousand  dollars for death; for each motor vehicle  having a seating capacity of not less  than  twenty-one  nor  more  than  thirty  passengers,  a bond or insurance policy with a minimum liability  of twenty-five thousand dollars and a maximum liability of  one  hundred  sixty  thousand  dollars  for  bodily  injury and a minimum liability of  fifty thousand dollars and a maximum liability of two  hundred  thousand  dollars  for  death; for each motor vehicle having a seating capacity of  more than thirty passengers, a bond or insurance policy with  a  minimum  liability of twenty-five thousand dollars and a maximum liability of two  hundred  thousand  dollars  for bodily injury and a minimum liability of  fifty thousand dollars and a maximum  liability  of  two  hundred  fifty  thousand dollars for death;    (b)  For  damages  for  and  incident  to  injury to or destruction of  property; for each motor vehicle and each motorcycle a bond or insurance  policy with a minimum liability of ten thousand dollars.    Such  bond  or  policy  of  insurance  shall contain a provision for a  continuing liability thereunder, notwithstanding any  recovery  thereon.  Any such bond or policy of insurance shall also contain a provision that  such  bond  or  policy  of  insurance  shall inure to the benefit of any  person legally operating the motor vehicle or motorcycle in the business  of the owner and with his permission, in the same manner and  under  the  same  conditions and to the same extent as to the owner. If at any time,  in the judgment  of  the  commissioner,  such  bond  or  policy  is  not  sufficient  for any cause the commissioner may require the owner of such  motor vehicle or motorcycle to replace such bond or policy with  another  approved by the commissioner. A corporate surety or an insurance company  evidence  of  whose bond or policy has been so filed, must file a notice  in the office of the commissioner that upon  the  expiration  of  twenty  days  from  such  filing  such  surety will cease to be liable upon such  bond, or in the case of such insurance company, that upon the expiration  of such time such policy will  be  cancelled;  provided,  however,  that  where  the  owner  of  such  motor  vehicle  or  motorcycle has replaced  coverage with another insurer, the expiration date shall be the date the  new coverage has commenced; further provided that where such  owner  has  had  a  total  loss,  the expiration date shall be the earlier of twenty  days or when the plates have been turned in  to  the  commissioner.  The  commissioner  shall  thereupon notify the owner of such motor vehicle or  motorcycle of the filing of such notice, and  unless  such  owner  shall  file  a  new bond or evidence of new bond or policy, as provided by this  section,  on  or  before  such  date  as  shall  be  specified  by   the  commissioner,  or  shall  place the number plates belonging to the motor  vehicle or motorcycle in the custody of the commissioner  or  his  agent  within such time, to remain in such custody until a new bond or evidence  of a new bond or policy is filed, the registration of such motor vehicle  or  motorcycle  shall be revoked as of the date specified in said notice  of the commissioner and no new registration shall be issued for a period  of thirty days. Forthwith after his registration  has  been  so  revoked  such owner shall return the number plates issued for such vehicle to the  commissioner.  The  provisions  of  subdivision  seven  of  section five  hundred ten of this chapter shall apply to such revocations.    Notwithstanding any contrary provision of this chapter, any such bond,  or policy of  insurance  shall  also  provide  for  uninsured  motorists  coverage  in  the  minimal  amount  and  in  the  form  provided  for in  subsection (f) of section three thousand  four  hundred  twenty  of  the  insurance law.    Nothing  in  this subdivision shall be construed to prevent compliance  therewith by filing a combination of bonds or policies or of a bond  and  policy  or  evidence  thereof  if  the  commissioner  approves  and  the  requirements of this subdivision are otherwise met.    (c) As a condition to filing evidence of a corporate surety bond,  the  registrant shall pay annually in addition to any other fee prescribed by  this chapter, a fee of one dollar and fifty cents for each motor vehicle  registered  in  his  name and the aggregate amount of such fees shall be  applied in the reduction of the assessment levied  pursuant  to  section  three hundred seventeen of this chapter.    (d)  As used in this section, a judgment or judgment for damages shall  include a final arbitration  award  and  any  unpaid  fees  due  to  the  arbitration  forum  established  pursuant  to  section five thousand one  hundred six of the insurance law.    1-a.  Every  person,  firm,  association  or  corporation  engaged  in  carrying  or  transporting  sick  or  injured  persons  in  any  hearse,  combination hearse or ambulance operated over, upon or  along  a  public  street  or  highway  within  a town having a population of less than two  thousand  inhabitants,  shall  secure  either a corporate surety bond or  policy of insurance executed by a surety or insurance company authorized  to do business in this state, containing like conditions to  secure  the  payment  of  damages  as  is  required to be provided for motor vehicles  operated for  the  transportation  of  passengers  for  hire;  provided,  however,  that  any  bond or policy of insurance so secured, may contain  the condition that it shall secure the payment of  damages  only  during  the time or times such hearse or combination hearse or ambulance is used  or  operated for the transportation of sick or injured persons and shall  not be operative or effective during any other time or times or for  the  payment  of damages incurred while being operated for any other purpose.  A bond or policy of insurance executed pursuant  to  the  provisions  of  this  subdivision  need  not  be  approved  or filed notwithstanding any  inconsistent provision of this section.    2. Any person, firm, association  or  corporation  operating  a  motor  vehicle  or  motorcycle  as  to  which  a bond or policy of insurance is  required by this section who or which shall  operate  such  vehicle,  or  cause  the same to be operated, while such a bond or policy, or evidence  thereof  as  required  by  this  section,  is  not  on  file  with   the  commissioner,  and  in  full  force  and  effect  shall  be  guilty of a  misdemeanor.    3. A person, firm, association or corporation engaged in the  business  of  renting  or  leasing  rental vehicles to be operated upon the public  highways for carrying passengers shall be subject to the  provisions  of  this  section  in  the  same  manner  and  to the same extent as if such  person, firm, association or corporation were actually  engaged  in  the  business of carrying or transporting passengers for hire.    Notwithstanding  the  provisions of subdivision one of this section, a  person, firm, association or corporation  engaged  in  the  business  of  renting  or leasing motor vehicles, having registered in this state more  than twenty-five motor  vehicles  subject  to  the  provisions  of  this  section   and   who  qualifies  as  hereinafter  provided,  may  file  a  certificate of self-insurance. The commissioner of motor vehicles in his  discretion may, upon the application of such a person, firm, association  or  corporation  issue  a  certificate  of  self-insurance  when  he  is  reasonably  satisfied that such person is possessed and will continue to  be possessed of financial  ability  to  respond  to  judgments  obtained  against  such  person, arising out of the ownership, maintenance, use or  operation of any such  person's  motor  vehicle.  Upon  due  notice  and  hearing,  the  commissioner  may,  in his discretion and upon reasonable  grounds, cancel a certificate of self-insurance.    As a condition to the issuance  of  a  certificate  of  self-insurance  under  this subdivision the registrant shall pay annually in addition to  any other fee prescribed by this chapter, a fee of one dollar and  fifty  cents  for  each  motor vehicle registered in his name and the aggregate  amount of such fees shall be applied  in  reduction  of  the  assessment  levied pursuant to section three hundred seventeen.    As   a   further  condition  to  the  issuance  of  a  certificate  of  self-insurance, the registrant shall pay annually  in  addition  to  any  other  fee  prescribed  by  this  chapter,  an  amount per vehicle to be  determined by the Motor  Vehicle  Accident  Indemnification  Corporation  pursuant to section five thousand two hundred seven of the insurance law  and  the  aggregate  amount  of  such  fees  shall be transmitted by the  commissioner to the Motor Vehicle Accident  Indemnification  Corporation  continued  pursuant  to  section  five thousand two hundred three of the  insurance law to be applied in reduction of assessments levied  by  said  corporation  pursuant  to section five thousand two hundred seven of the  insurance law.    4.  Every person operating a motor vehicle or motorcycle as to which a  bond or policy of insurance is required by this section, which is in any  manner involved in an accident, shall  within  five  days  give  written  notice  of  the time and place of the accident to the surety or insurer.  Failure  to  give  notice  of  an  accident  as  herein  provided  shall  constitute  a  misdemeanor,  but  shall  not affect the liability of the  surety or insurer.    5. If a vehicle subject to the provisions of this section  or  section  three  hundred seventy-one of this chapter shall be operated on a public  highway without having the minimum corporate surety bond  or  policy  of  liability  insurance,  unless  the  owner  shall  have filed an approved  certificate of insurance therefor, the driver's license, privileges  and  registration  certificate or privilege of operation within this state of  the owner and operator shall be subject to revocation and suspension  as  provided  in  articles six and seven of this chapter, in the same manner  as if such vehicle were a private passenger vehicle, not used  to  carry  persons for hire or profit.    6.  Notwithstanding any other provision of law, the commissioner, may,  by regulation, in addition to, or in lieu of any  requirements  relating  to  notice  of insurance required by this section, extend all or part of  the provisions of article  six  of  this  chapter  concerning  insurance  identification  cards  to  vehicles  subject  to  the provisions of this  section. Furthermore, the commissioner may exempt  by  such  regulations  any  type or types of vehicles subject to the provisions of this section  where he deems the application of the provisions of such regulations  to  be  inappropriate. If the commissioner promulgates any such regulations,  the failure to produce an insurance identification card  when  requested  by  any  peace  officer,  acting  pursuant to his special duties, police  officer or magistrate shall be presumptive evidence of  a  violation  of  subdivision  two  of this section. In addition, any such regulations may  require that the insurance identification card be placed in  plain  view  of any for-hire passengers carried in such vehicle.    7.  Nothing contained in this section shall prohibit any person, firm,  association or corporation  subject  to  this  section  from  purchasing  liability  insurance  coverage  in  excess  of the maximum liability set  forth in subdivision one of this section."
VAT371,"Vehicle and Traffic      371. Certificate   of   department  of  transportation  in  lieu  of  indemnity bonds or insurance policies. A person,  firm,  association  or  corporation  subject  to  the  provisions  of the transportation law and  required under the provisions of section three hundred seventy  of  this  chapter  to  file  evidence  of  a  corporate  surety  bond or policy of  insurance with the commissioner of motor vehicles in order to so operate  any such  motor  vehicle,  may  file  with  the  commissioner  of  motor  vehicles,  in lieu of the surety or evidence prescribed in section three  hundred seventy of this chapter, a  certificate  of  the  department  of  transportation   certifying  that  such  person,  firm,  association  or  corporation has complied with  the  regulations  of  the  department  of  transportation as to public liability and property damage responsibility  and, in the case of such a person, firm, association or corporation also  engaged  in the business of carrying or transporting passengers for hire  in operations not subject to the provisions of the  transportation  law,  that  the  arrangement  of coverage in effect has been extended to cover  motor vehicles used in such operations."
VATT3A9,"Vehicle and Traffic                                   ARTICLE 9                          EQUIPMENT OF MOTOR VEHICLES                               AND MOTORCYCLES   Section 375.   Equipment.          375-a. Prohibition against retaliatory action.          376.   Lamps, signaling devices and reflectors on vehicles.          376-a. Defective equipment.          377.   Vehicles  engaged in the transportation of logs and other                   materials.          378.   Additional safety requirements  for  commercial  vehicles                   and vehicles transporting hazardous materials.          380-a. Certain  vehicles  engaged in the transportation of loose                   cargo.          381.   Motorcycle equipment.          382.   Hydraulic brake fluid.          382-a. Brake linings.          382-b. Service brake system.          382-c. Occupant compartments.          383.   Safety belts and anchorage assemblies."
VAT375,
VAT375-A,"Vehicle and Traffic      375-a. Prohibition  against  retaliatory action. 1. Definitions. For  purposes of this section:    (a) ""Employee"" means an individual who is a driver or  operator  of  a  motor  vehicle  which  has a registered maximum gross weight of eighteen  thousand pounds or more and performs services for and under the  control  and direction of an employer for wages or other remuneration.    (b) ""Employer"" means any registered owner of a motor vehicle which has  a registered maximum gross weight of eighteen thousand pounds or more or  any  person, firm, partnership, institution, corporation, or association  that employs one or more employees as herein defined.    (c) ""Retaliatory personnel action"" means the discharge, suspension  or  demotion  of  an  employee,  or  other  adverse  employment action taken  against an employee in the terms and conditions of employment.    2. Prohibition. An employer shall not take any  retaliatory  personnel  action  against  an employee because the employee objected to or refused  to operate a motor vehicle which the employee reasonably believes  fails  to  comply  with  the  provisions  of  subdivision  one, insofar as such  subdivision concerns brakes and steering  mechanism,  paragraph  (a)  of  subdivision  two,  paragraph a of subdivision ten, subdivision eighteen,  eighteen-a,  twenty-five,  paragraph  (c)  of  subdivision  thirty-five,  thirty-nine,  forty  or forty-two of section three hundred seventy-five,  or section three hundred seventy-six or section three  hundred  eighty-a  of  this  chapter  relating to required equipment of such vehicle or its  proper repair.    3. Application.  The  protection  against  any  retaliatory  personnel  action  found  in subdivision two of this section shall apply only to an  employee who has brought the  above  mentioned  violations  of  sections  three  hundred  seventy-five,  three  hundred  seventy-six  and/or three  hundred eighty-a to the attention of his employer  in  writing  and  has  afforded   such  employer  a  reasonable  opportunity  to  correct  such  violation.    4. Violation;  remedy.  An  employee  who  has  been  subjected  to  a  retaliatory  personnel action in violation of this section may institute  a civil action in a court of competent jurisdiction for  relief  as  set  forth  in  subdivision  five of section seven hundred forty of the labor  law within one year after the alleged retaliatory personnel  action  was  taken. The commissioner or his agent may deny a registration application  of any other person for the same vehicle where he has reasonable grounds  to  believe that such registration will have the effect of defeating the  purpose of this subdivision.    5. Existing rights.  Nothing  in  this  section  shall  be  deemed  to  diminish  the  rights, privileges, or remedies of any employee under any  collective bargaining agreement or employment contract."
VAT376,"Vehicle and Traffic      376. Lamps,  signaling devices and reflectors on vehicles. 1. (a) It  shall be unlawful  to  operate,  drive  or  park  a  vehicle,  except  a  motorcycle  operated during the period from one-half hour before sunrise  to one-half hour after sunset, on any public highway or street  in  this  state  at  any  time  during  the  day  or  night unless such vehicle is  equipped with signaling devices and reflectors of a type approved by the  commissioner which are in good working condition; or to  operate,  drive  or  park a vehicle, except a motorcycle, on any public highway or street  in this state, during the period from  one-half  hour  after  sunset  to  one-half hour before sunrise, unless such vehicle is equipped with lamps  of  a  type  approved  by the commissioner which are lighted and in good  working  condition;  or  to  operate,  drive  or   park   self-propelled  agricultural  equipment  on  any public highway or street in this state,  during the period from one-half  hour  after  sunset  to  one-half  hour  before  sunrise and during such other times as visibility for a distance  of one thousand feet ahead of or behind such agricultural  equipment  is  not  clear, unless such agricultural equipment is equipped with lamps of  a type approved by the  commissioner  which  are  lighted  and  in  good  working condition.    (b)  The  commissioner  of  motor  vehicles  is  hereby authorized and  empowered to promulgate rules and regulations  with  respect  to  lamps,  reflectors   and   signaling   devices,   their  number,  type,  design,  construction, location, attachment and use  on  vehicles  being  driven,  operated  or  parked  on  any public highway or street in this state. In  promulgating such rules and regulations the commissioner shall be guided  by the requirements with regard to lights, reflectors, signaling devices  and  associated  equipment  on  vehicles  of   rules   and   regulations  promulgated by the United States department of transportation.    2.  Wiring used on commercial vehicles shall be of such size that when  all connections are made in an acceptable  and  workmanlike  manner  the  loss  in  voltage will not be sufficient to cause a lamp to produce less  than the minimum candlepower, under normal  operating  conditions,  when  the  lamp  is  in  good  working order. All wiring should be enclosed in  weather proof and abrasion proof cable or conduit except wiring which is  completely enclosed within the body of the vehicle.    3. All lights, signals and reflectors shall be of a  type  and  design  approved  by  the  commissioner. No light having a candlepower rating in  excess of thirty-two candle power shall be used on any  vehicle,  unless  it  is of a type approved by the commissioner. The provisions of section  three hundred seventy-five of this chapter  governing  the  approval  of  equipment  and  the adjustment of headlamps shall apply to the equipment  and headlamps required by  this  section.  The  commissioner  is  hereby  authorized  and  empowered  to  adopt  and  from time to time amend such  regulations not inconsistent with  this  section,  governing  the  size,  type, construction, location, and use of lights, signals and reflectors,  including  the  exemption  of specific vehicles from the requirements of  this section where the construction of such  vehicles  makes  compliance  herewith impracticable, or impossible.    4.  All  existing  provisions  of  this  chapter  governing the use of  headlamps, front parking lamps and license plate lamps and other  lamps,  reflectors, lights and directional signals on vehicles shall continue to  apply,  except  to  the  extent  irreconcilably  inconsistent  with  the  provisions of this section or regulations promulgated thereunder."
